CTYNAME,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015
St. Mary's County,105758,107779,109019,109510,110350,111413
Somerset County,26479,26331,26114,26057,25632,25768
Talbot County,37886,37968,38053,37900,37560,37512
Washington County,147738,148819,149203,149321,149423,149585
Wicomico County,98938,100097,100590,101087,101768,102370
Worcester County,51476,51435,51551,51505,51563,51540
Massachusetts,6565036,6611797,6657780,6708810,6755124,6794422
Barnstable County,215930,215339,214806,214685,214665,214333
Berkshire County,131278,130529,130171,129345,128565,127828
Bristol County,549174,549226,551009,552184,554626,556772
Dukes County,16557,16680,16788,17155,17320,17299
Essex County,745634,751514,757050,764154,770486,776043
Franklin County,71310,71606,71506,71080,70927,70601
Hampden County,464146,465857,466569,467524,469566,470690
Hampshire County,159278,160137,160406,160856,161106,161292
Middlesex County,1507262,1523909,1540714,1558294,1572523,1585139
Nantucket County,10164,10141,10331,10561,10821,10925
Norfolk County,672788,678073,682997,688826,692688,696023
Plymouth County,495912,498214,499510,503236,507050,510393
Suffolk County,725262,736692,749610,760364,769809,778121
Worcester County,800341,803880,806313,810546,814972,818963
Michigan,9877369,9876589,9886879,9900506,9916306,9922576
Alcona County,10890,10775,10607,10572,10448,10349
Alger County,9564,9554,9496,9497,9452,9383
Allegan County,111502,111530,111898,112391,113743,114625
Alpena County,29539,29342,29219,29026,28952,28803
Antrim County,23499,23379,23337,23220,23243,23154
Arenac County,15854,15620,15496,15419,15326,15261
Baraga County,8841,8820,8715,8691,8643,8575
Barry County,59080,58970,59070,59140,59239,59314
Bay County,107695,107497,107121,106958,106256,105659
Benzie County,17507,17436,17390,17398,17505,17457
Berrien County,156792,156510,156015,155363,155299,154636
Branch County,45172,43897,43770,43531,43668,43664
Calhoun County,136025,135291,134750,134772,134821,134314
Cass County,52188,52456,52036,51834,51775,51657
Charlevoix County,25893,26012,26071,26180,26171,26238
Cheboygan County,26080,25940,25779,25618,25685,25427
Chippewa County,38600,38902,39003,38674,38320,38033
Clare County,31006,30962,30788,30578,30670,30553
Clinton County,75421,76206,76463,77111,77353,77390
Crawford County,14059,14034,13994,13906,13742,13801
Delta County,37070,36944,36848,36838,36552,36377
Dickinson County,26144,26072,26215,26038,25947,25788
Eaton County,107758,107882,108023,108292,108706,108801
Emmet County,32644,32776,32890,33064,33200,33161
Genesee County,425057,421784,418110,415695,412934,410849
Gladwin County,25720,25842,25515,25534,25451,25164
Gogebic County,16400,16121,16035,15856,15678,15431
Grand Traverse County,86964,88138,88988,89979,90796,91636
Gratiot County,42425,42151,42035,42033,41633,41540
Hillsdale County,46619,46622,46283,46129,45917,45941
Houghton County,36715,36895,36827,36707,36491,36380
Huron County,33079,32746,32471,32266,32082,31883
Ingham County,281065,282037,282386,282684,284263,286085
Ionia County,63865,63865,63911,64021,64299,64223
Iosco County,25826,25545,25370,25354,25391,25345
Iron County,11798,11749,11573,11508,11357,11348
Isabella County,70312,70656,70631,70542,70820,70698
Jackson County,160169,159683,160137,159858,159624,159494
Kalamazoo County,250754,252456,254969,257162,258908,260263
Kalkaska County,17128,17147,17085,17281,17378,17260
Kent County,602992,608111,615025,623221,630225,636369
Keweenaw County,2144,2230,2206,2176,2210,2168
Lake County,11513,11487,11482,11394,11345,11424
Lapeer County,88203,88067,88230,88305,88199,88373
Leelanau County,21716,21659,21623,21711,21884,21981
Lenawee County,99638,99332,99018,98806,98780,98573
Livingston County,181028,182382,183072,184483,185703,187316
Luce County,6605,6525,6498,6523,6422,6415
Mackinac County,11087,11071,11135,11062,11060,10890
Macomb County,841247,843001,848293,855674,861636,864840
Manistee County,24580,24727,24627,24446,24417,24461
Marquette County,67110,67452,67813,67757,67675,67215
Mason County,28730,28651,28677,28659,28786,28783
Mecosta County,42844,43442,43519,43270,43207,43067
Menominee County,23976,23923,23748,23755,23611,23548
Midland County,83664,83761,83660,83588,83479,83632
Missaukee County,14814,14940,15031,15080,14988,14903
Monroe County,151945,151535,150878,150253,149945,149568
Montcalm County,63311,63223,63103,62850,62900,62945
Montmorency County,9775,9595,9494,9364,9292,9259
Muskegon County,171922,169985,170129,172213,172300,172790
Newaygo County,48378,48418,47952,47943,47883,47948
Oakland County,1202930,1211211,1221391,1232713,1239897,1242304
Oceana County,26522,26417,26251,26200,26174,26105
Ogemaw County,21637,21535,21424,21204,21010,20937
Ontonagon County,6745,6614,6408,6305,6158,6007
Osceola County,23513,23448,23265,23253,23144,23058
Oscoda County,8603,8648,8593,8376,8350,8251
Otsego County,24151,24131,24048,24123,24148,24253
Ottawa County,264141,266429,269616,273080,276598,279955
Presque Isle County,13304,13185,13120,13050,12989,12841
Roscommon County,24470,24322,24140,23967,24013,23898
Saginaw County,199916,198855,198329,196764,195142,193307
St. Clair County,162681,161493,160549,160193,160037,159875
St. Joseph County,61288,61078,60953,60940,61120,61018
Sanilac County,43077,42713,42334,41898,41652,41475
Schoolcraft County,8478,8482,8360,8252,8171,8173
Shiawassee County,70602,69946,69269,68842,68889,68619
Tuscola County,55696,55392,54714,54222,53993,53777
Van Buren County,76155,75914,75258,75331,75177,75077
Washtenaw County,345563,349048,351213,354289,357029,358880
Wayne County,1815199,1801273,1792514,1775713,1766008,1759335
Wexford County,32757,32694,32597,32538,32922,33003
Minnesota,5310903,5348119,5380443,5420541,5457125,5489594
Aitkin County,16219,16105,15934,15745,15708,15702
Anoka County,331453,332877,336021,339027,341742,344151
Becker County,32537,32819,33019,33214,33246,33386
Beltrami County,44579,45098,45229,45550,45623,45672
Benton County,38470,38842,38881,39231,39439,39710
Big Stone County,5260,5224,5166,5114,5125,5040
Blue Earth County,64093,64353,65067,64923,65497,65787
Brown County,25856,25663,25408,25280,25290,25313
Carlton County,35416,35484,35324,35368,35470,35569
Carver County,91394,92843,93923,95671,97396,98741
Cass County,28651,28388,28419,28521,28559,28706
Chippewa County,12447,12332,12147,12099,12085,12109
Chisago County,53917,53742,53479,53728,53928,54293
Clay County,59149,59967,60218,60606,61281,62324
Clearwater County,8703,8706,8676,8779,8796,8803
Cook County,5163,5204,5177,5168,5223,5194
Cottonwood County,11700,11741,11646,11637,11589,11549
Crow Wing County,62624,62662,62854,63075,63220,63428
Dakota County,399188,401977,404925,408508,412182,414686
Dodge County,20156,20186,20242,20311,20347,20364
Douglas County,35997,36248,36435,36545,36798,37075
Faribault County,14488,14525,14247,14170,14156,14050
Fillmore County,20832,20870,20882,20817,20812,20834
Freeborn County,31210,31093,31042,30946,30789,30613
Goodhue County,46199,46276,46402,46395,46375,46435
Grant County,6003,6003,5945,5985,5969,5903
Hennepin County,1154250,1169437,1184617,1199581,1212097,1223149
Houston County,18999,18917,18813,18814,18743,18773
Hubbard County,20426,20497,20444,20690,20586,20655
Isanti County,37884,38243,38239,38175,38394,38429
Itasca County,45014,45123,45240,45456,45516,45435
Jackson County,10264,10188,10287,10254,10247,10079
Kanabec County,16224,16233,15989,16017,15939,15837
Kandiyohi County,42247,42263,42439,42512,42465,42542
Kittson County,4543,4537,4507,4491,4442,4424
Koochiching County,13306,13242,13187,13117,12883,12841
Lac qui Parle County,7237,7236,7123,7006,6895,6856
Lake County,10873,10813,10834,10790,10681,10631
Lake of the Woods County,4032,4014,3961,3928,3917,3923
Le Sueur County,27701,27809,27650,27664,27748,27663
Lincoln County,5885,5853,5806,5804,5804,5771
Lyon County,25859,25795,25723,25593,25713,25673
McLeod County,36605,36410,36016,35980,35891,35932
Mahnomen County,5424,5494,5520,5485,5525,5457
Marshall County,9436,9480,9475,9453,9434,9423
Martin County,20818,20626,20472,20423,20206,20022
Meeker County,23321,23221,23070,23104,23148,23102
Mille Lacs County,26095,25884,25737,25842,25794,25788
Morrison County,33229,33240,33089,32862,32844,32775
Mower County,39191,39282,39312,39208,39218,39116
Murray County,8692,8657,8586,8541,8447,8413
Nicollet County,32747,32965,32947,32915,33257,33347
Nobles County,21398,21582,21687,21744,21653,21770
Norman County,6849,6842,6640,6659,6643,6678
Olmsted County,144522,145928,147048,149070,150199,151436
Otter Tail County,57282,57332,57305,57579,57622,57716
Pennington County,13961,14045,14094,14114,14079,14219
Pine County,29723,29619,29216,29077,29109,29069
Pipestone County,9593,9526,9383,9288,9301,9271
Polk County,31632,31540,31489,31658,31517,31533
Pope County,10964,10921,10912,10914,10952,11041
Ramsey County,509428,515945,521288,528056,533634,538133
Red Lake County,4076,4103,4075,4051,4019,4055
Redwood County,16040,16066,15867,15702,15509,15471
Renville County,15687,15465,15355,15140,15003,14892
Rice County,64243,64516,64557,64813,65143,65400
Rock County,9664,9630,9554,9516,9516,9600
Roseau County,15572,15524,15507,15532,15740,15770
St. Louis County,200158,200353,200383,200581,200780,200431
Scott County,130537,132681,135265,137533,139470,141660
Sherburne County,88799,89286,89555,90251,91208,91705
Sibley County,15234,15182,15109,15040,14897,14875
Stearns County,150749,151277,151683,152165,153140,154708
Steele County,36507,36554,36302,36402,36600,36755
Stevens County,9715,9725,9737,9758,9838,9796
Swift County,9753,9684,9611,9543,9446,9340
Todd County,24874,24830,24545,24429,24269,24257
Traverse County,3541,3514,3427,3410,3391,3401
Wabasha County,21663,21523,21408,21422,21314,21239
Wadena County,13844,13714,13697,13770,13740,13875
Waseca County,19138,19170,19184,19071,18965,18989
Washington County,238995,241609,244138,246686,249320,251597
Watonwan County,11197,11172,11125,11051,10969,10952
Wilkin County,6578,6584,6614,6540,6494,6396
Winona County,51419,51370,51362,51341,51107,50885
Wright County,125137,126343,127372,128402,130026,131311
Yellow Medicine County,10425,10277,10158,10115,10033,9875
Mississippi,2970316,2977999,2985660,2990976,2993443,2992333
Adams County,32560,32413,32168,32125,31935,31254
Alcorn County,37108,37302,37233,37324,37346,37388
Amite County,13112,13176,12966,12874,12612,12574
Attala County,19540,19315,19103,19300,19112,19043
Benton County,8695,8705,8649,8503,8312,8182
Bolivar County,34091,33810,34033,34014,33835,33322
Calhoun County,14952,14910,14843,14732,14745,14717
Carroll County,10580,10456,10398,10340,10255,10243
Chickasaw County,17414,17469,17439,17342,17375,17328
Choctaw County,8561,8402,8358,8400,8310,8299
Claiborne County,9571,9780,9374,9170,9177,9150
Clarke County,16707,16661,16501,16374,16269,16006
Clay County,20547,20491,20376,20336,20143,20048
Coahoma County,26121,25864,25681,25195,24909,24620
Copiah County,29428,29244,28913,28810,28864,28773
Covington County,19595,19509,19537,19390,19378,19543
DeSoto County,161788,163917,166367,168438,170886,173323
Forrest County,74998,75884,76728,76766,76014,75944
Franklin County,8117,7985,7887,7883,7786,7743
George County,22659,22826,22891,23161,23271,23373
Greene County,14404,14285,14287,14237,14312,13522
Grenada County,21855,21577,21602,21540,21656,21578
Hancock County,44102,44762,45327,45592,46035,46420
Harrison County,187896,190940,193700,196533,198758,201410
Hinds County,245701,248324,248181,245570,244406,242891
Holmes County,19400,19196,19053,18762,18508,18340
Humphreys County,9330,9322,9210,8949,8772,8669
Issaquena County,1394,1391,1408,1413,1386,1337
Itawamba County,23411,23333,23390,23448,23474,23609
Jackson County,139453,140024,139995,140433,141504,141425
Jasper County,16988,16798,16539,16481,16546,16569
Jefferson County,7711,7574,7648,7627,7574,7507
Jefferson Davis County,12441,12175,12079,11950,11837,11665
Jones County,67816,67834,68284,68810,68235,68215
Kemper County,10460,10255,10356,10264,10213,9969
Lafayette County,47561,48417,50377,51676,52220,53154
Lamar County,56081,57140,57853,58877,59935,60618
Lauderdale County,80409,80615,80282,80328,79413,78524
Lawrence County,12897,12669,12605,12506,12526,12622
Leake County,23756,23282,23228,23303,23191,22763
Lee County,82909,84174,85075,85387,85242,85300
Leflore County,32335,31957,31555,31542,31526,30999
Lincoln County,34878,34842,34834,34732,34766,34649
Lowndes County,59800,59567,59623,59843,59750,59710
Madison County,95587,97118,98488,100248,101690,103465
Marion County,27022,26718,26362,26116,25786,25563
Marshall County,37078,36759,36564,36497,36191,35916
Monroe County,36901,36544,36391,36105,36006,35827
Montgomery County,10907,10756,10560,10525,10327,10152
Neshoba County,29673,29709,29684,29454,29457,29463
Newton County,21666,21489,21597,21668,21816,21747
Noxubee County,11495,11323,11170,11059,11121,11043
Oktibbeha County,47712,47864,48960,49275,49343,49800
Panola County,34657,34494,34428,34398,34378,34167
Pearl River County,55724,55470,55088,54932,55298,55191
Perry County,12214,12239,12084,12117,12219,12277
Pike County,40439,40405,40081,39974,39961,39956
Pontotoc County,30042,29795,30350,30694,30840,30908
Prentiss County,25217,25305,25317,25409,25411,25459
Quitman County,8165,8023,7799,7819,7676,7486
Rankin County,142491,144037,145560,147089,148081,149039
Scott County,28321,28306,28249,28214,28433,28265
Sharkey County,4880,4876,4787,4668,4628,4585
Simpson County,27509,27368,27372,27507,27535,27222
Smith County,16474,16523,16334,16203,16168,16059
Stone County,17892,17920,18049,17961,17892,18070
Sunflower County,29014,28569,28468,28003,27509,27005
Tallahatchie County,15342,15357,15093,15021,14736,14588
Tate County,28981,28725,28501,28347,28206,28296
Tippah County,22197,22072,21957,22055,22054,22131
Tishomingo County,19603,19608,19605,19478,19452,19552
Tunica County,10747,10580,10445,10474,10545,10343
Union County,27132,27323,27363,27772,28168,28429
Walthall County,15407,15391,15098,14887,14878,14638
Warren County,48815,48254,48123,48274,47966,47485
Washington County,51076,50439,50068,49721,49135,48130
Wayne County,20760,20637,20624,20478,20516,20566
Webster County,10285,10130,10052,9939,9975,9899
Wilkinson County,9860,9578,9459,9348,9216,9122
Winston County,19183,19010,18970,18709,18480,18317
Yalobusha County,12633,12495,12359,12332,12272,12447
Yazoo County,28083,28218,28265,27926,27759,27387
Missouri,5996052,6010587,6025468,6043708,6063827,6083672
Adair County,25614,25597,25643,25653,25530,25378
Andrew County,17319,17265,17391,17368,17322,17296
Atchison County,5646,5582,5518,5421,5371,5306
Audrain County,25460,25604,25626,25654,25935,26096
Barry County,35745,35653,35678,35714,35758,35829
Barton County,12367,12366,12345,12218,12019,11880
Bates County,17038,17019,16696,16491,16562,16446
Benton County,19110,19016,18942,18866,18775,18670
Bollinger County,12342,12382,12402,12439,12373,12182
Boone County,163200,166000,168730,171126,173019,174974
Buchanan County,89090,89602,89822,89758,89525,89100
Butler County,42796,42989,42997,42932,42887,42951
Caldwell County,9445,9209,9113,9064,9017,9014
Callaway County,44333,44314,44440,44499,44743,44834
Camden County,44036,43608,43883,43853,44053,44237
Cape Girardeau County,75887,76663,77121,77566,78108,78572
Carroll County,9289,9258,9102,9106,9021,8992
Carter County,6299,6318,6263,6313,6265,6263
Cass County,99755,99992,100505,100826,100978,101603
Cedar County,13983,13833,13830,13929,13933,13934
Chariton County,7832,7724,7657,7621,7659,7589
Christian County,77855,78685,79753,80763,82039,83279
Clark County,7126,7030,6977,6905,6881,6801
Clay County,222627,225023,227486,230362,233297,235637
Clinton County,20730,20649,20481,20490,20259,20609
Cole County,76126,76431,76365,76618,76531,76720
Cooper County,17590,17579,17534,17638,17572,17642
Crawford County,24618,24823,24778,24535,24638,24526
Dade County,7856,7771,7561,7550,7615,7595
Dallas County,16736,16767,16779,16498,16385,16393
Daviess County,8440,8308,8261,8267,8294,8253
DeKalb County,12878,12915,12877,12749,12684,12687
Dent County,15711,15577,15622,15691,15578,15593
Douglas County,13642,13619,13587,13457,13544,13373
Dunklin County,31945,32021,31861,31676,31356,30895
Franklin County,101504,101625,101353,101739,101999,102426
Gasconade County,15230,15113,14990,14896,14885,14858
Gentry County,6739,6827,6806,6783,6816,6692
Greene County,275381,277410,280707,283987,285852,288072
Grundy County,10270,10263,10337,10373,10209,10097
Harrison County,8949,8902,8739,8720,8634,8615
Henry County,22249,22195,22155,22064,22021,21737
Hickory County,9631,9582,9390,9272,9228,9201
Holt County,4904,4834,4660,4578,4520,4484
Howard County,10141,10204,10189,10238,10141,10139
Howell County,40569,40601,40575,40220,40116,40117
Iron County,10605,10490,10425,10330,10240,10125
Jackson County,675011,675373,677558,680290,683683,687623
Jasper County,117728,117853,115423,116481,117566,118596
Jefferson County,219132,219706,220150,221263,222644,224124
Johnson County,52727,53459,54465,54491,54410,53951
Knox County,4127,4113,4087,4067,3996,3910
Laclede County,35657,35583,35413,35630,35471,35473
Lafayette County,33399,33232,33104,32872,32671,32701
Lawrence County,38587,38483,38397,38134,38026,38180
Lewis County,10199,10237,10160,10132,10126,10207
Lincoln County,52704,53101,53345,53854,54256,54696
Linn County,12745,12566,12481,12326,12326,12308
Livingston County,15128,15124,15052,14912,15092,15028
McDonald County,23073,22873,22917,22591,22792,22643
Macon County,15594,15472,15546,15479,15469,15335
Madison County,12194,12326,12478,12410,12385,12408
Maries County,9184,9205,9046,9064,9006,8963
Marion County,28785,28791,28804,28850,28875,28880
Mercer County,3778,3784,3717,3684,3711,3694
Miller County,24728,24834,24736,25019,25077,25113
Mississippi County,14325,14249,14298,14237,14221,14036
Moniteau County,15620,15698,15685,15778,15882,15963
Monroe County,8798,8687,8688,8745,8695,8583
Montgomery County,12234,12223,12018,11937,11816,11703
Morgan County,20560,20394,20133,20217,20212,20171
New Madrid County,18935,18792,18483,18324,18248,18208
Newton County,58143,58823,59071,58781,58596,58615
Nodaway County,23377,23431,23375,23225,23090,22810
Oregon County,10930,11064,11003,10987,10890,10953
Osage County,13876,13918,13860,13691,13691,13628
Ozark County,9726,9654,9618,9533,9473,9409
Pemiscot County,18240,18205,18105,17787,17608,17482
Perry County,18974,18910,19047,19137,19222,19183
Pettis County,42267,42134,42288,42186,42213,42255
Phelps County,45313,45186,45227,44978,44960,44794
Pike County,18484,18639,18532,18579,18485,18348
Platte County,89705,90808,92090,93241,94735,96096
Polk County,31164,31190,31078,31007,31032,31229
Pulaski County,52845,53268,53401,53791,53535,53221
Putnam County,4970,4960,4937,4878,4840,4858
Ralls County,10192,10299,10259,10181,10280,10196
Randolph County,25441,25259,25309,24938,25065,25104
Ray County,23472,23314,23053,23023,22950,22810
Reynolds County,6677,6681,6660,6579,6540,6432
Ripley County,14101,14133,14030,14014,13969,13802
St. Charles County,361831,365237,369048,374200,379952,385590
St. Clair County,9816,9701,9511,9493,9454,9440
Ste. Genevieve County,18118,18231,17872,17946,17984,17919
St. Francois County,65542,65559,65841,66181,65948,66520
St. Louis County,998792,999016,1000775,1001295,1002188,1003362
Saline County,23403,23330,23472,23249,23360,23258
Schuyler County,4441,4389,4394,4366,4391,4436
Scotland County,4843,4848,4888,4919,4858,4854
Scott County,39241,39131,39123,39188,38856,39008
Shannon County,8446,8423,8326,8273,8307,8258
Shelby County,6376,6242,6236,6161,6129,6128
Stoddard County,30022,29846,29833,29776,29870,29862
Stone County,32058,31867,31627,31337,31101,30943
Sullivan County,6721,6671,6563,6500,6474,6353
Taney County,51925,52640,52992,53414,54138,54592
Texas County,26028,25935,25757,25638,25654,25690
Vernon County,21124,20980,20762,20889,20935,20826
Warren County,32578,32618,32791,33041,33253,33513
Washington County,25177,25108,25104,25162,25076,24788
Wayne County,13509,13382,13373,13412,13415,13405
Webster County,36273,36296,36326,36463,36880,37483
Worth County,2155,2126,2081,2082,2062,2057
Wright County,18857,18635,18611,18427,18303,18268
Montana,990643,997746,1005157,1014402,1023252,1032949
Beaverhead County,9241,9207,9351,9288,9310,9300
Big Horn County,12907,13043,12994,13113,13313,13242
Blaine County,6490,6562,6643,6574,6635,6577
Broadwater County,5626,5720,5749,5670,5631,5689
Carbon County,10066,10084,10124,10312,10413,10408
Carter County,1155,1143,1176,1165,1176,1180
Cascade County,81533,81772,81767,82367,82268,82278
Chouteau County,5818,5810,5936,5863,5900,5767
Custer County,11692,11766,11839,11917,12068,12135
Daniels County,1745,1773,1783,1788,1801,1760
Dawson County,8938,9013,9247,9399,9543,9625
Deer Lodge County,9299,9262,9223,9280,9152,9139
Fallon County,2887,2930,3026,3045,3111,3190
Fergus County,11588,11507,11450,11524,11433,11427
Flathead County,90868,91184,91616,92973,94726,96165
Gallatin County,89626,91353,92600,94647,97276,100739
Garfield County,1187,1278,1265,1283,1308,1314
Glacier County,13431,13563,13659,13793,13698,13647
Golden Valley County,883,840,842,858,852,827
Granite County,3072,3145,3108,3131,3215,3240
Hill County,16147,16405,16435,16605,16599,16572
Jefferson County,11393,11433,11382,11497,11552,11645
Judith Basin County,2064,2031,2023,2012,1991,1926
Lake County,28778,29023,29025,29078,29204,29457
Lewis and Clark County,63605,64258,64857,65346,65904,66418
Liberty County,2355,2383,2397,2374,2363,2408
Lincoln County,19685,19606,19478,19412,19139,19052
McCone County,1737,1711,1698,1707,1704,1683
Madison County,7685,7695,7723,7698,7806,7915
Meagher County,1889,1890,1903,1921,1865,1830
Mineral County,4218,4255,4169,4272,4244,4251
Missoula County,109455,110160,111077,111731,112681,114181
Musselshell County,4546,4749,4682,4637,4604,4582
Park County,15587,15500,15574,15641,15855,15972
Petroleum County,492,490,509,506,489,475
Phillips County,4258,4198,4120,4163,4186,4169
Pondera County,6166,6207,6182,6247,6211,6184
Powder River County,1730,1752,1758,1751,1778,1773
Powell County,7017,7078,7087,6965,6906,6840
Prairie County,1186,1155,1154,1171,1140,1160
Ravalli County,40340,40397,40625,40767,40953,41373
Richland County,9748,10144,10805,11180,11573,11960
Roosevelt County,10443,10531,10891,11122,11340,11476
Rosebud County,9249,9349,9371,9307,9335,9398
Sanders County,11394,11371,11371,11323,11329,11336
Sheridan County,3371,3440,3579,3652,3679,3687
Silver Bow County,34230,34374,34484,34536,34730,34622
Stillwater County,9116,9167,9199,9301,9287,9486
Sweet Grass County,3623,3593,3598,3674,3666,3634
Teton County,6079,6085,6070,6063,6046,6104
Toole County,5342,5170,5231,5127,5135,5087
Treasure County,720,721,732,700,696,697
Valley County,7373,7476,7497,7627,7624,7659
Wheatland County,2159,2140,2100,2131,2096,2110
Wibaux County,1005,989,1056,1128,1125,1130
Yellowstone County,148406,149865,151917,154040,155588,157048
Nebraska,1830025,1842383,1855973,1869300,1882980,1896190
Adams County,31338,31233,31388,31582,31419,31587
Antelope County,6668,6632,6529,6451,6403,6414
Arthur County,464,469,482,452,454,456
Banner County,697,737,765,768,748,788
Blaine County,472,496,512,481,501,487
Boone County,5502,5397,5416,5387,5351,5315
Box Butte County,11277,11292,11279,11309,11334,11337
Boyd County,2102,2085,2061,2019,2027,2006
Brown County,3149,3081,3026,2926,2941,2946
Buffalo County,46177,46835,47655,48090,48348,48863
Burt County,6847,6794,6685,6581,6590,6585
Butler County,8373,8308,8308,8312,8238,8115
Cass County,25263,25264,25161,25369,25496,25512
Cedar County,8818,8776,8758,8673,8606,8564
Chase County,3963,4000,4031,3976,3973,3956
Cherry County,5705,5740,5730,5774,5760,5848
Cheyenne County,9971,9974,10059,10065,10120,10167
Clay County,6545,6480,6414,6381,6326,6309
Colfax County,10537,10576,10552,10414,10546,10520
Cuming County,9156,9143,9098,9002,9023,9125
Custer County,10915,10877,10790,10792,10743,10806
Dakota County,21033,20834,20793,20867,20717,20781
Dawes County,9174,9236,9183,9119,9089,9055
Dawson County,24335,24296,24055,24086,24024,23886
Deuel County,1937,1971,1972,1929,1936,1921
Dixon County,5978,6013,5910,5827,5783,5797
Dodge County,36661,36946,36645,36605,36725,36706
Douglas County,518664,524677,531554,537994,543985,550064
Dundy County,2008,1976,1990,1972,1889,1799
Fillmore County,5876,5839,5731,5664,5634,5619
Franklin County,3232,3217,3191,3066,3050,2985
Frontier County,2756,2732,2735,2716,2714,2624
Furnas County,4952,4936,4903,4849,4883,4862
Gage County,22294,21955,21746,21827,21662,21900
Garden County,2080,2046,1964,1905,1912,1918
Garfield County,2040,1989,1985,2018,1995,2028
Gosper County,2044,1949,2034,1965,1961,1973
Grant County,614,633,617,627,620,641
Greeley County,2542,2533,2455,2481,2481,2429
Hall County,58814,59586,60333,60854,61509,61680
Hamilton County,9120,9073,9021,9107,9109,9190
Harlan County,3417,3442,3416,3500,3478,3452
Hayes County,961,984,947,972,932,932
Hitchcock County,2896,2873,2884,2867,2890,2883
Holt County,10449,10459,10403,10427,10390,10313
Hooker County,735,743,712,731,726,732
Howard County,6267,6304,6308,6347,6366,6409
Jefferson County,7516,7542,7536,7522,7303,7263
Johnson County,5220,5198,5165,5127,5174,5173
Kearney County,6485,6555,6515,6501,6588,6585
Keith County,8363,8223,8214,8121,8109,8063
Keya Paha County,821,823,797,795,804,804
Kimball County,3820,3781,3775,3666,3690,3689
Knox County,8676,8587,8586,8567,8498,8543
Lancaster County,286187,289989,293624,297577,302742,306468
Lincoln County,36262,36054,36008,36038,35723,35656
Logan County,770,769,773,763,752,777
Loup County,626,614,600,581,587,585
McPherson County,537,545,504,523,501,475
Madison County,34935,34998,35115,35232,35169,35039
Merrick County,7856,7735,7799,7791,7767,7787
Morrill County,5037,4926,4871,4867,4850,4854
Nance County,3733,3736,3708,3600,3555,3595
Nemaha County,7246,7272,7196,7171,7154,7046
Nuckolls County,4506,4448,4429,4385,4366,4329
Otoe County,15766,15799,15755,15783,15888,15984
Pawnee County,2770,2780,2777,2720,2692,2659
Perkins County,2979,2948,2939,2899,2892,2944
Phelps County,9187,9162,9222,9201,9201,9296
Pierce County,7254,7190,7170,7158,7196,7208
Platte County,32298,32461,32615,32555,32734,32847
Polk County,5388,5341,5286,5249,5277,5202
Red Willow County,11052,11011,11015,11016,10860,10829
Richardson County,8362,8343,8289,8130,8151,8094
Rock County,1512,1432,1377,1399,1413,1381
Saline County,14225,14355,14476,14351,14338,14282
Sarpy County,159755,162667,165875,169437,172291,175692
Saunders County,20862,20884,20824,20908,20932,21016
Scotts Bluff County,37074,36932,36913,36852,36463,36261
Seward County,16798,16739,16977,17065,17098,17110
Sheridan County,5455,5387,5352,5244,5268,5220
Sherman County,3149,3141,3124,3108,3072,3091
Sioux County,1313,1327,1322,1324,1309,1260
Stanton County,6134,6189,6102,6094,6081,5937
Thayer County,5220,5174,5156,5187,5228,5163
Thomas County,650,688,691,698,687,684
Thurston County,6970,6909,6921,6875,6961,7064
Valley County,4263,4247,4233,4198,4211,4154
Washington County,20275,20263,20294,20217,20265,20248
Wayne County,9606,9452,9498,9415,9391,9367
Webster County,3816,3768,3755,3668,3668,3625
Wheeler County,824,815,795,760,765,750
York County,13654,13753,13819,13836,13909,13806
Nevada,2703440,2718819,2754874,2790366,2838281,2890845
Churchill County,24804,24601,24340,24075,24046,24200
Clark County,1953378,1967290,1998204,2028421,2069146,2114801
Douglas County,47026,47021,46986,47057,47519,47710
Elko County,49076,49523,51106,52516,52731,51935
Esmeralda County,782,758,770,835,825,829
Eureka County,1993,1981,1992,2055,1989,2016
Humboldt County,16592,16651,17090,17347,17228,17019
Lander County,5784,5845,5930,6063,5987,5903
Lincoln County,5358,5263,5337,5216,5120,5036
Lyon County,52070,51463,51115,51355,51766,52585
Mineral County,4771,4627,4667,4553,4506,4478
Nye County,43856,43315,42899,42229,42203,42477
Pershing County,6745,6646,6773,6863,6695,6634
Storey County,3995,3955,3914,3883,3908,3987
Washoe County,422135,425015,429173,433848,440154,446903
White Pine County,10045,10109,9980,9993,9978,9811
New Hampshire,1316708,1318344,1321393,1322660,1327996,1330608
Belknap County,60118,60281,60422,60221,60428,60641
Carroll County,47821,47747,47664,47495,47372,47285
Cheshire County,76938,76807,76763,76476,76193,75909
Coos County,32980,32478,31995,31971,31694,31212
Grafton County,89104,89043,89277,89488,89575,89320
Hillsborough County,401016,401758,402641,403444,405339,406678
Merrimack County,146430,146752,146987,147116,147461,147994
Rockingham County,295333,296022,297837,298758,300638,301777
Strafford County,123219,124002,124624,124724,126191,126825
Sullivan County,43749,43454,43183,42967,43105,42967
New Jersey,8803881,8842934,8874893,8907384,8938844,8958013
Atlantic County,274761,275078,275763,276321,275499,274219
Bergen County,906895,914018,920006,926284,932836,938506
Burlington County,449218,450549,451227,450103,450677,450226
Camden County,513594,513185,512993,511922,510967,510923
Cape May County,97263,96597,96447,95896,95359,94727
